X,Y,Z,PointCount,field_5
1412738.889999999897555,4931697.410000000149012,35.340000000000003,"5000",
1412744.969999999972060,4931691.940000000409782,37.600000000000001,"5000",
1412742.030000000027940,4931692.230000000447035,36.399999999999999,"5000",
1412731.659999999916181,4931696.440000000409782,34.240000000000002,"5000",
1412732.229999999981374,4931694.839999999850988,34.880000000000003,"5000",
1412733.800000000046566,4931693.750000000000000,35.549999999999997,"5000",
1412734.800000000046566,4931691.269999999552965,35.770000000000003,"5000",
1412736.340000000083819,4931687.280000000260770,36.670000000000002,"5000",
1412735.739999999990687,4931686.419999999925494,36.659999999999997,"5000",
1412734.620000000111759,4931685.410000000149012,36.670000000000002,"5000",
1412733.070000000065193,4931686.490000000223517,36.590000000000003,"5000",
1412721.030000000027940,4931691.799999999813735,33.799999999999997,"5000",
1412713.530000000027940,4931697.009999999776483,32.930000000000000,"5000",
1412744.830000000074506,4931672.240000000223517,40.229999999999997,"5000",
1412743.439999999944121,4931673.200000000186265,40.469999999999999,"5000",
1412716.429999999934807,4931691.950000000186265,33.359999999999999,"5000",
1412729.659999999916181,4931681.509999999776483,37.250000000000000,"5000",
1412742.989999999990687,4931672.190000000409782,40.130000000000003,"5000",
1412744.770000000018626,4931669.209999999962747,40.670000000000002,"5000",
1412740.290000000037253,4931672.330000000074506,40.210000000000001,"5000",
1412704.550000000046566,4931697.129999999888241,33.200000000000003,"5000",
1412739.360000000102445,4931671.679999999701977,39.859999999999999,"5000",
1412702.929999999934807,4931695.209999999962747,33.450000000000003,"5000",
1412744.770000000018626,4931663.120000000111759,41.350000000000001,"5000",
1412743.219999999972060,4931664.179999999701977,41.299999999999997,"5000",
1412735.780000000027940,4931669.330000000074506,39.789999999999999,"5000",
1412734.239999999990687,4931670.410000000149012,39.530000000000001,"5000",
1412713.300000000046566,4931684.929999999701977,34.219999999999999,"5000",
1412711.889999999897555,4931685.910000000149012,34.159999999999997,"5000",
1412741.600000000093132,4931662.230000000447035,41.210000000000001,"5000",
1412719.219999999972060,4931677.740000000223517,36.659999999999997,"5000",
1412717.810000000055879,4931678.730000000447035,36.119999999999997,"5000",
1412721.419999999925494,4931674.969999999739230,37.549999999999997,"5000",
1412723.129999999888241,4931673.780000000260770,37.939999999999998,"5000",
1412725.169999999925494,4931670.620000000111759,38.700000000000003,"5000",
1412723.770000000018626,4931671.589999999850988,38.189999999999998,"5000",
1412713.300000000046566,4931678.849999999627471,35.799999999999997,"5000",
1412710.320000000065193,4931680.889999999664724,35.200000000000003,"5000",
1412701.280000000027940,4931687.160000000149012,34.799999999999997,"5000",
1412710.510000000009313,4931679.549999999813735,35.490000000000002,"5000",
1412716.439999999944121,4931675.410000000149012,36.780000000000001,"5000",
1412739.830000000074506,4931657.410000000149012,41.539999999999999,"5000",
1412730.840000000083819,4931663.629999999888241,39.869999999999997,"5000",
1412729.449999999953434,4931664.599999999627471,39.430000000000000,"5000",
1412716.060000000055879,4931673.870000000111759,36.859999999999999,"5000",
1412701.050000000046566,4931684.259999999776483,34.719999999999999,"5000",
1412684.820000000065193,4931695.480000000447035,36.960000000000001,"5000",
1412703.669999999925494,4931681.230000000447035,34.740000000000002,"5000",
1412709.780000000027940,4931676.980000000447035,35.850000000000001,"5000",
1412729.050000000046566,4931663.549999999813735,39.570000000000000,"5000",
1412733.389999999897555,4931660.530000000260770,40.600000000000001,"5000",
1412734.780000000027940,4931659.559999999590218,40.670000000000002,"5000",
1412736.620000000111759,4931656.620000000111759,41.049999999999997,"5000",
1412735.080000000074506,4931657.700000000186265,40.880000000000003,"5000",
1412733.689999999944121,4931658.660000000149012,40.899999999999999,"5000",
1412702.350000000093132,4931680.339999999850988,34.920000000000002,"5000",
1412696.350000000093132,4931684.500000000000000,35.969999999999999,"5000",
1412712.000000000000000,4931672.440000000409782,36.509999999999998,"5000",
1412728.310000000055879,4931661.099999999627471,39.500000000000000,"5000",
1412738.669999999925494,4931653.879999999888241,41.810000000000002,"5000",
1412709.580000000074506,4931672.360000000335276,36.250000000000000,"5000",
1412708.030000000027940,4931673.429999999701977,36.189999999999998,"5000",
1412711.280000000027940,4931669.919999999925494,36.670000000000002,"5000",
1412727.590000000083819,4931658.580000000074506,39.740000000000002,"5000",
1412733.139999999897555,4931653.030000000260770,41.250000000000000,"5000",
1412686.989999999990687,4931683.759999999776483,39.170000000000002,"5000",
1412691.419999999925494,4931680.679999999701977,38.170000000000002,"5000",
1412713.489999999990687,4931665.360000000335276,36.689999999999998,"5000",
1412720.959999999962747,4931658.469999999739230,38.829999999999998,"5000",
